username,author_id,video_desc,video_id,upload_time,duration,was_duet,hashtags,music_artist,music_title,is_verified,author_followers,author_likes,author_hearts,author_video_count,saves,likes,shares,plays,comments
bakerbanter,6806701653161624581,GAME NIGHT W/ D: ON THE VLOG NOW!! Link in bio #vlog #linkinbio #youtube #gamenight #familygamenight #family #disney #fyp @jennaa_bee @katyy_bee,6835785140304645382,1591580256,57,{'duetFromId': '0'},"['vlog', 'linkinbio', 'youtube', 'gamenight', 'familygamenight', 'family', 'disney', 'fyp', '', '']",bakerbanter,original sound,True,3100000,6919,127100000,3583,35800,1700000,13800,11000000,4228
kawaiimin🇰🇷🇨🇦,6943607182983136262,Let's pack my date night purse with me💗 #asmr #aesthetic #whatsinmypurse #whatsinmybag #vlog #kawaii #room #packmybag #asmrpacking ,7148593730604387585,1664411696,50,{'duetFromId': '0'},"['asmr', 'aesthetic', 'whatsinmypurse', 'whatsinmybag', 'vlog', 'kawaii', 'room', 'packmybag', 'asmrpacking']",kawaiimin🇰🇷🇨🇦,오리지널 사운드 - kawaiimln🇰🇷🇨🇦,False,1500000,706,29800000,730,157200,1700000,8255,13300000,2758
Kat Clark,53838971864104960,Not Jonathan taking that womans food 😩 #longervideos #vlog #feedinganimals  ,7260005470436461825,1690351753,131,{'duetFromId': '0'},"['longervideos', 'vlog', 'feedinganimals']",Kat Clark,original sound,True,6200000,18500,426100000,1650,92700,1700000,37800,11700000,4421
Sarina Nielsen,6565697670789300229,kali ini judulnya PETASAN ZONK🤣 Selamat lebaran gengs!! THR Online di postingan sebelum ini ya🥰 #fyp #foryou #vlog,6961729447389072641,1620903950,58,{'duetFromId': '0'},"['fyp', 'foryou', 'vlog']",Sarina Nielsen,original sound - sarina nielsen,False,2600000,19100,84600000,1036,13900,1700000,2977,24300000,4659
AbbieHerbert,6767527973299536901,THE END 😂 #trend #fyp #foryou #sass #sasswars #baby #pregnant #shopping #4u #viral #relatable #vlog #couple #couplegoals,6938152075935173894,1615414417,46,{'duetFromId': '0'},"['trend', 'fyp', 'foryou', 'sass', 'sasswars', 'baby', 'pregnant', 'shopping', '4u', 'viral', 'relatable', 'vlog', 'couple', 'couplegoals']",Kevin MacLeod & Kevin The Monkey,Monkeys Spinning Monkeys,True,15500000,44100,1900000000,2430,24400,1700000,4015,8800000,2028
nora,61067956532559872,this is truly a lifesaver 🥲 #cysticacne #hormonalacne #dermatologist #acne #vlog #skintok ,7320675391201348895,1704477611,118,{'duetFromId': '0'},"['cysticacne', 'hormonalacne', 'dermatologist', 'acne', 'vlog', 'skintok']",nora,original sound,False,158600,48600,13600000,883,114700,3300000,13300,39400000,22000
aminabx,6790114158618100742,"A Sunday day in the life. I prayed fajr and then hit the snooze button. Sometimes it’s so nice to have a lie in and I think I needed the rest! Haroon spent ages cutting the fruit, I think it was a bad idea to show him Pinterest. 😂 I’m running out of modest gym fits so please comment ideas! Also thank you so much for all the love on these day in the life videos. I am humbled by all the kind comments and I’m so grateful for you girlies who support me. Lots of love and I hope that you have the best start to the week! 🤍 #vlog #dayinmylife #muslimcouple #sundayroutine #productiveday ",7186730390722268421,1673291068,60,{'duetFromId': '0'},"['vlog', 'dayinmylife', 'muslimcouple', 'sundayroutine', 'productiveday']",Maher Zain,Rahmatun Lil'Alameen,False,444100,17600,11200000,465,161500,1700000,50900,9800000,8534
Constanza Silva 🦋,7214995803323646982,5 de noviembre pt 1: A Erkan le toca llevar el libro del viajero a su jardín! ✨ #mamajoven #chile #mamaadolecente #conyyerkan #maternidad #vlog #cocinando #cocadas ,7298836297840430342,1699392757,197,{'duetFromId': '0'},"['mamajoven', 'chile', 'mamaadolecente', 'conyyerkan', 'maternidad', 'vlog', 'cocinando', 'cocadas']",ISAo,"Cooking show, cute piano violin",False,3100000,3072,123400000,264,88700,1700000,4180,13200000,3803
Foomi,7234923377017439238,"Los helados de escorpio SIEMPRE son los mejores, change my mind! #AMO LOS HELADOS DE YOGURT y amo lso toppings de @nutrisamx definitivamente la cobertura de chocolate endulza mi corazon Si te late un helado de tu signo prueba el trend en @Encuentro Tlalnepantla  #vlog #helado #comidatiktok #froyo #zodiacsigns #aries♈️ #tauro♉ #tauro #escorpio♏ #escorpio #xyzbca #comedia #fypシ #fyp #aries #geminis #geminis♊️ #froyo #nutrisa",7267758060393843973,1692156791,64,{'duetFromId': '0'},"['amo', '', '', 'vlog', 'helado', 'comidatiktok', 'froyo', 'zodiacsigns', 'aries♈️', 'tauro♉', 'tauro', 'escorpio♏', 'escorpio', 'xyzbca', 'comedia', 'fypシ', 'fyp', 'aries', 'geminis', 'geminis♊️', 'froyo', 'nutrisa']",sped up 8282,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,False,71900,146,6200000,36,116100,1700000,20800,13100000,7757
Derek Ryan,71489002066894848,It helps if one of them is a filmmaker @Henrique Castanheira #vlog #europe #fy ,7343000959791926561,1709675645,94,{'duetFromId': '0'},"['', 'vlog', 'europe', 'fy']",Derek Ryan,original sound,False,22300,17800,2300000,12,158000,1700000,57100,7700000,5879
