username,author_id,video_desc,video_id,upload_time,duration,was_duet,hashtags,music_artist,music_title,is_verified,author_followers,author_likes,author_hearts,author_video_count,saves,likes,shares,plays,comments
インテル,6875960477760996357,He hit the perfect octave #generallee #dukesofhazzard #laugh #funny #fyp #fypシ #valorant ,7179061532326776066,1671505532,14,{'duetFromId': '0'},"['generallee', 'dukesofhazzard', 'laugh', 'funny', 'fyp', 'fypシ', 'valorant']",インテル,original sound,False,3074,160400,545400,1,81900,544700,4806,3200000,1955
AverageJonas,6881469741920601093,Pro player wasn’t happy about my Sova instalock 🧐 #valorant #foryou,7084700130846199046,1649535292,29,{'duetFromId': '0'},"['valorant', 'foryou']",AverageJonas,original sound,False,588200,891,34900000,947,15000,544400,2313,3800000,1765
light val boosting,7170264290466628654,How TENZ Impresses KYEDAE!! link in bio join us #valorant #valorantclips #valorantboost #valorantboosting #valoboosting #foryou #fy #fyp #valo,7193923621721558318,1674965931,10,{'duetFromId': '0'},"['valorant', 'valorantclips', 'valorantboost', 'valorantboosting', 'valoboosting', 'foryou', 'fy', 'fyp', 'valo']",light val boosting,LINK IN BIO FOR VAL BOOSTS - orijinal ses,False,14500,11,2400000,61,40400,543600,3343,4600000,1720
Misty,6739835330213954565,bro be spending on a free to play game #valorant #valorantskins #valorantfunny #valorantmemes #fyp #fypシ゚viral #foryoupage ,7220566725018848518,1681169202,8,{'duetFromId': '0'},"['valorant', 'valorantskins', 'valorantfunny', 'valorantmemes', 'fyp', 'fypシ゚viral', 'foryoupage']",theblueskimask,original sound,False,5025,4887,1600000,357,46800,542800,27700,2700000,11900
karagii,6921848572829123586,awkward 😭 #gaming #valorant #twitch #youtube,7110223843947580677,1655477997,23,{'duetFromId': '0'},"['gaming', 'valorant', 'twitch', 'youtube']",karagii,original sound,False,41500,123,1900000,263,38900,542700,455,2600000,627
Zombee,7007976976096314370,smurf moment #valorant #valorantph #valorantclips  #valorantedit #tiktokggph #valorantdaily #fyp #foryou #ae #edit #zombleeh,7078022399383358747,1647980513,25,{'duetFromId': '0'},"['valorant', 'valorantph', 'valorantclips', 'valorantedit', 'tiktokggph', 'valorantdaily', 'fyp', 'foryou', 'ae', 'edit', 'zombleeh']",Hairitage & Rico Act,40 Cal,False,18200,10300,855600,53,17800,541800,6450,4100000,4141
Kayzie,6875333673509749765,It’s like a reward #valorant #girlgamer #ReTokforNature #fyp #foryou #valorantclips,7138457363484314923,1662051627,18,{'duetFromId': '0'},"['valorant', 'girlgamer', 'retokfornature', 'fyp', 'foryou', 'valorantclips']",Armani White,BILLIE EILISH.,False,78500,2056,6000000,387,30800,545400,964,2700000,1066
FinchCross,7015236541987783686,Quién ganaría en un PVP? 🥸 #pickmegirl #pickme #discord #warzone  #valorant #minecraft #humor #parati #fyp #fypシ ,7274399255438167302,1693703065,180,{'duetFromId': '0'},"['pickmegirl', 'pickme', 'discord', 'warzone', 'valorant', 'minecraft', 'humor', 'parati', 'fyp', 'fypシ']",FinchCross,original sound,False,93600,23,4100000,63,41600,541600,2517,3300000,2104
Valorant Videos,6842622751414338566,Only Shroud can be this good with Yoru 😱 (via TTV Shroud) #valorant #valorantclips #valorantgaming #shroud #gaming,6985707131420888322,1626486699,68,{'duetFromId': '0'},"['valorant', 'valorantclips', 'valorantgaming', 'shroud', 'gaming']",Valorant Videos,original sound,False,909800,1463,87800000,1839,10500,541400,7642,4600000,1569
DJamesG,6812650509795935237,PRESIDENTE DEL MUNDO. #valorant #valorantclip #valorantclips #fyp #parati #twitchespaña #twitchstreamer #valorantfunny #valorantespaña #twitchclips #valorantespañol #twitchclip #valorantgaming #highlights #valorantmemes ,7277153055169072416,1694344237,71,{'duetFromId': '0'},"['valorant', 'valorantclip', 'valorantclips', 'fyp', 'parati', 'twitchespaña', 'twitchstreamer', 'valorantfunny', 'valorantespaña', 'twitchclips', 'valorantespañol', 'twitchclip', 'valorantgaming', 'highlights', 'valorantmemes']",DJamesG,sonido original,False,560600,129,15800000,103,48400,541000,6327,4800000,2014
zoolander,7050490948833575942,#lol #leagueoflegends #riotgames #valorant #dota2 #dota2memes #fortnite #fyp #parati #chistoso #meme ,7179999683471805702,1671723953,7,{'duetFromId': '0'},"['lol', 'leagueoflegends', 'riotgames', 'valorant', 'dota2', 'dota2memes', 'fortnite', 'fyp', 'parati', 'chistoso', 'meme']",AstroCapella,Yotube AstroCapella,False,21700,787,1700000,37,40100,539900,22400,3900000,1387
Plasma,111822166542753792,rip bozo 🤡 #fyp #trending #gaming #valorantfunny #valorant #valorantclips #plasma,7087306072490331434,1650142035,21,{'duetFromId': '0'},"['fyp', 'trending', 'gaming', 'valorantfunny', 'valorant', 'valorantclips', 'plasma']",💫,lilac,True,900800,5771,18100000,196,17400,539800,3442,3800000,2952
